Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price,Class Info,Flight URL
15:55,18:45,CMN,JFK,direct,7h 50min,British Airways,1402.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.Xn8KWCj2yGDPlYb-lPvZjw.151537.5caf376fd2e84cf75f78f8054034c4b4&h=cbaf02d542dd&sub=F-4871440937230045612E0d3a952eb9d&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
15:55,18:45,CMN,JFK,direct,7h 50min,Finnair,1436.0,Economy Superlight,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.tYUOhBwwtNbTYwQ_VUUUMA.155214.1d2ec900375cbf148eca89f29b1d3ad9&h=ac1353c80d13&sub=F-4137658077439746130E00687854ee5&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
15:55,18:45,CMN,JFK,direct,7h 50min,"British Airways, Royal Air Maroc",1649.0,Basic Economy,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.Xn8KWCj2yGDPlYb-lPvZjw.178235.8a2b632678500790ea32c818bf2b35c1&h=9cf202ff06a8&sub=F-4871440937000456106E015a153c99a&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,"British Airways, Iberia",926.0,"Économique standard, Basic",https://www.kayak.fr/book/flight?code=XlHCPpSBcs.SraQfAsTxU_BDARZyLA7ng.100073.902568d597d61aa0963ca50759009ea6&h=f3b4c4c2f984&sub=F-1918399155115580332E0670f4fdac8&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
13:40,21:55,CMN,JFK,1 escaleLHR,13h 15min,"British Airways, Iberia",1040.0,"Économique standard, Basic",https://www.kayak.fr/book/flight?code=XlHCPpSBcs.SraQfAsTxU_BDARZyLA7ng.112395.912c7190782abca1108fb0e92f711523&h=f2b06b08dbf9&sub=F-1918399157965490918E046f568b2a3&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11
15:55,18:45,CMN,JFK,direct,7h 50min,American Airlines,1130.0,Main Cabin,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.sIt2B02c_IY.122090.f40a7ec03c793c5cd755618413fbd66b&h=8389e8837f04&sub=F6917194605191015487E00b72097b24&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
13:40,21:55,CMN,JFK,1 escaleLHR,13h 15min,British Airways,1070.0,Économique standard,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.ZpbE3-UY8hoNUvH8T-y68A.115637.227014f8d765bffcf460d4d1f195037c&h=de82c00a0ef1&sub=F-8359297112430124886E06d69b2d2e3&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Norse Atlantic Airways",1171.0,Économique,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.mgYptEKS7RsDzQq2dWkU9A.126570.91b871316b8cb591e5a3a1215ed42de6&h=21ae03041b63&sub=F-4360786158811649450E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,Plusieurs compagnies,1087.0,"Economy Superlight, Optimal",https://www.kayak.fr/book/flight?code=XlHCPpSBcs.7e2QikHpsTMDzQq2dWkU9A.117490.09f19a8aab56f9bdd8a9a7317b6f3864&h=8e3b1fc99207&sub=F-1165493309086520875E081547198d2&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Azores Airlines",1119.0,Économique,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.hVPlmUai5GwDzQq2dWkU9A.120945.a3595c26c0ff148d33c0498e5b99f5e9&h=2eec013de363&sub=F5162153246509666613E02766f12b05&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Azores Airlines",1119.0,Économique,https://www.kayak.fr/book/flight?code=XlHCPpSBcs.hVPlmUai5GwDzQq2dWkU9A.120945.7fb7a35328a9345f0b932c120327efdb&h=8fbbab2214fa&sub=F5162153249318519791E02766f12b05&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18
