Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price €,Class Info,Flight URL
15:55,18:45,CMN,JFK,direct,7h 50min,American Airlines,1130.0,Main Cabin,https://www.kayak.fr/book/flight?code=XlEiIMDuac.sIt2B02c_IY.122090.f40a7ec03c793c5cd755618413fbd66b&h=bdf7bb68f9c1&sub=F6917194605191015487E00b72097b24&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
13:40,21:55,CMN,JFK,1 escaleLHR,13h 15min,British Airways,1070.0,Économique standard,https://www.kayak.fr/book/flight?code=XlEiIMDuac.ZpbE3-UY8hoNUvH8T-y68A.115637.227014f8d765bffcf460d4d1f195037c&h=4401dcfdefe1&sub=F-8359297112430124886E06d69b2d2e3&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Norse Atlantic Airways",1171.0,Économique,https://www.kayak.fr/book/flight?code=XlEiIMDuac.mgYptEKS7RsDzQq2dWkU9A.126570.91b871316b8cb591e5a3a1215ed42de6&h=9270c3c615fb&sub=F-4360786158811649450E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15
13:40,22:45,CMN,JFK,1 escaleLHR,14h 05min,Plusieurs compagnies,1087.0,"Economy Superlight, Optimal",https://www.kayak.fr/book/flight?code=XlEiIMDuac.7e2QikHpsTMDzQq2dWkU9A.117490.09f19a8aab56f9bdd8a9a7317b6f3864&h=1f491cdec547&sub=F-1165493309086520875E081547198d2&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Azores Airlines",1119.0,Économique,https://www.kayak.fr/book/flight?code=XlEiIMDuac.hVPlmUai5GwDzQq2dWkU9A.120945.a3595c26c0ff148d33c0498e5b99f5e9&h=70ef45e61325&sub=F5162153246509666613E02766f12b05&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17
15:55,18:45,CMN,JFK,direct,7h 50min,"Royal Air Maroc, Azores Airlines",1119.0,Économique,https://www.kayak.fr/book/flight?code=XlEiIMDuac.hVPlmUai5GwDzQq2dWkU9A.120945.7fb7a35328a9345f0b932c120327efdb&h=45df4069d5e2&sub=F5162153249318519791E02766f12b05&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18
17:40,08:55+1,CMN,ROM,1 escaleORY,14h 15min,"Transavia France, easyJet",609.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.DUXnJgr4NQt8slrYJHG6xA.65739.f634d3468840f7a024f13e30861f186f&h=ab19a3364888&sub=F-7845058789710597852E0d2ea00d9e0&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
17:40,08:55+1,CMN,ROM,1 escaleORY,14h 15min,Plusieurs compagnies,560.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.DUXnJgr4NQt8slrYJHG6xA.60518.2b9fb15815a587d5019229423a03a209&h=166848088187&sub=F-7845058787874076549E09ebb5ba30f&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
17:40,11:45+1,CMN,ROM,1 escaleORY,17h 05min,Plusieurs compagnies,648.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.DUXnJgr4NQt8slrYJHG6xA.70023.e69c28fd33947063104215d6d5db6f08&h=858abc9a9014&sub=F-7845058787872288328E09ebb5ba30f&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
17:40,11:45+1,CMN,ROM,1 escaleORY,17h 05min,"Transavia France, Vueling",600.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.DUXnJgr4NQt8slrYJHG6xA.64802.0a8646c9475cbb52efb5fed4e9e1bdea&h=c9ec8d4f623f&sub=F-7845058791078363084E02e08786731&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
17:40,16:40+1,CMN,ROM,1 escaleORY,22h 00min,Transavia France,,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.WISSnVw2FgxPGVlzk-Y6UA.72705.d04d898e20c7eaab7f26e5984f81b2a6&h=b34a0eb1bde8&sub=F-7760541630193478433E019a3194723&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
17:40,23:15+1,CMN,ROM,1 escaleORY,28h 35min,Transavia France,,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.WISSnVw2FgxPGVlzk-Y6UA.69868.520991c24da2af99b40ed264ec28f648&h=dea470c7dba8&sub=F-7760541629984264765E019a3194723&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
17:40,16:40+1,CMN,ROM,1 escaleORY,22h 00min,Transavia France,686.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.WISSnVw2FgxPGVlzk-Y6UA.74067.845125f71869d792096aa02859310d14&h=e0dd753f09fe&sub=F-7760541629492097627E019a3194723&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
17:40,23:15+1,CMN,ROM,1 escaleORY,28h 35min,Transavia France,659.0,Économique,https://www.kayak.fr/book/flight?code=XlGCBCdsUM.WISSnVw2FgxPGVlzk-Y6UA.71230.d9f5165fff4263c3ab58d0ea62ea052f&h=4e3678923fb0&sub=F-7760541627325200507E019a3194723&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
12:25,16:55,CMN,FRA,direct,3h 30min,Royal Air Maroc,400.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.43235.f28d26fa3d01886f8cf162b0037617e1&h=bc52bf695b46&sub=F1600144605877974972E0bb9a6d6e73&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
11:25,18:50,CMN,FRA,1 escaleLIS,6h 25min,"TAP AIR PORTUGAL, Royal Air Maroc",559.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.60421.4ef2066cdacf8a0b8b9780c762b76214&h=9f8363868cd1&sub=F1600144607647047466E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
11:25,22:20,CMN,FRA,1 escaleLIS,9h 55min,"TAP AIR PORTUGAL, Royal Air Maroc",443.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.47883.abf2edf4e86514b893d544f961262f70&h=0ecadb1628d4&sub=F1600144603992158395E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
12:45,22:35,CMN,FRA,1 escaleMAD,8h 50min,Iberia,638.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.68960.a4a9345ea035ce2f0525311bddb7a3c8&h=0f6213ce6d4b&sub=F1600144603950385149E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
12:45,22:35,CMN,FRA,1 escaleMAD,8h 50min,Iberia,693.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.74905.e03abe043f7e812341960821b1d18f75&h=5490a955f9b5&sub=F1600144606879873545E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
00:05,13:40,CMN,FRA,1 escaleSAW,12h 35min,"Pegasus Airlines, Royal Air Maroc",560.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.60529.a22e328f7c690804c1bef4856c660f00&h=55780aba4453&sub=F1600144604112116848E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
00:45,14:10,CMN,FRA,1 escaleCAI,12h 25min,"Egypt Air, Royal Air Maroc",858.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.92739.776925b9d3479be2e36f5439a05c6caa&h=a85db1d15b25&sub=F1600144606707690465E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
